,beta,bias,gamma,kappa
97,0.5848081707954407,0.5303738713264465,4.440861225128174,-0.028844863176345825
98,0.5843760967254639,0.5087199211120605,3.985889434814453,0.17097623646259308
99,0.5695942640304565,0.5108274817466736,4.271788120269775,0.03283827006816864
100,0.27930617332458496,0.6719667315483093,4.201208591461182,-0.006154954433441162
101,0.7113442420959473,0.5298078656196594,4.211482048034668,0.1487564593553543
102,0.5632708668708801,0.591435968875885,4.078747272491455,0.01679760217666626
103,0.7158983945846558,0.561083197593689,4.09934663772583,0.04068756103515625
104,0.47179609537124634,0.6206214427947998,4.015592098236084,-0.02754443883895874
105,0.5159375071525574,0.5656203031539917,4.284876823425293,0.1305074691772461
106,0.3953266739845276,0.5478537082672119,4.054887771606445,0.1441400647163391
107,0.5920749306678772,0.6192439794540405,4.0654072761535645,0.2936917543411255
108,0.5403751730918884,0.5086796879768372,4.493743419647217,0.12535879015922546
109,0.3880394399166107,0.5082242488861084,3.725705862045288,0.1734769642353058
110,0.3700089454650879,0.558456301689148,3.8889927864074707,0.02207571268081665
111,0.6606781482696533,0.5109483599662781,4.028831958770752,0.05156112089753151
112,0.6997336149215698,0.5492002367973328,4.211775779724121,0.07970365881919861
113,0.5473313927650452,0.5550832152366638,4.122065544128418,0.19481083750724792
114,0.5579566359519958,0.5737941861152649,4.1700358390808105,0.028247952461242676
115,0.5542361736297607,0.5567706227302551,4.247640609741211,0.06826543807983398
116,0.5378258228302002,0.5462965369224548,3.923623561859131,0.19478446245193481
117,0.6155052185058594,0.5585881471633911,4.215497016906738,0.025345176458358765
118,0.4011334776878357,0.6016718745231628,4.2212677001953125,0.0351523831486702
119,0.7874304056167603,0.45313191413879395,4.268780708312988,0.009780988097190857
120,0.5414940714836121,0.5564566850662231,4.142560005187988,0.09055677056312561
121,0.518894374370575,0.582025408744812,4.279354572296143,-0.007350362837314606
122,0.7284853458404541,0.49801215529441833,3.813730239868164,0.14708629250526428
123,0.9338379502296448,0.4308528006076813,4.201201915740967,0.1325361430644989
124,0.5318837761878967,0.58214271068573,4.015829086303711,-0.03307311236858368
125,0.6812931299209595,0.5300493836402893,4.240206718444824,0.21032267808914185
126,0.3907434642314911,0.5810689926147461,3.947495222091675,0.006126053631305695
127,0.6078851819038391,0.4714691638946533,4.076101303100586,0.04636581242084503
128,0.4951231777667999,0.5139232873916626,4.116669178009033,0.0529625341296196
