,subjects,variables,parameter,value
255,78,95th,beta_1,3.783505853677006e-44
256,79,95th,beta_1,3.783505853677006e-44
257,80,95th,beta_1,3.783505853677006e-44
258,81,95th,beta_1,3.783505853677006e-44
259,82,95th,beta_1,3.783505853677006e-44
260,83,95th,beta_1,3.783505853677006e-44
261,84,95th,beta_1,3.783505853677006e-44
262,85,95th,beta_1,3.783505853677006e-44
263,86,95th,beta_1,3.783505853677006e-44
264,87,95th,beta_1,3.783505853677006e-44
265,88,95th,beta_1,3.783505853677006e-44
266,89,95th,beta_1,3.783505853677006e-44
267,1,5th,beta_2,0.44340207874774934
268,2,5th,beta_2,2.116820621490479
269,3,5th,beta_2,0.7351962625980377
270,4,5th,beta_2,0.9013678103685379
271,5,5th,beta_2,0.4365305230021477
272,6,5th,beta_2,0.5674800276756287
273,7,5th,beta_2,2.1000683188438414
274,8,5th,beta_2,6.434802484512329
275,9,5th,beta_2,0.4656342774629593
276,10,5th,beta_2,0.9978371560573579
277,11,5th,beta_2,0.8927061825990676
278,12,5th,beta_2,0.4605324685573578
279,13,5th,beta_2,1.2532976269721985
280,14,5th,beta_2,0.5883066058158875
281,15,5th,beta_2,0.6251211762428284
282,16,5th,beta_2,0.61017085313797
283,17,5th,beta_2,0.300548480451107
284,18,5th,beta_2,2.003497153520584
285,19,5th,beta_2,4.667259263992309
286,20,5th,beta_2,2.5466457128524778
287,21,5th,beta_2,1.1311720848083495
288,22,5th,beta_2,1.8894267201423647
289,23,5th,beta_2,1.1205647528171538
290,24,5th,beta_2,0.5241172730922699
291,25,5th,beta_2,0.3209681406617165
292,26,5th,beta_2,1.4491683781147005
293,27,5th,beta_2,0.6792458802461624
294,28,5th,beta_2,0.6944988280534744
295,29,5th,beta_2,0.45833007395267483
296,30,5th,beta_2,1.8010383248329163
297,31,5th,beta_2,2.903556787967682
298,32,5th,beta_2,2.3663519620895386
299,33,5th,beta_2,2.6895596742630006
300,34,5th,beta_2,0.41125307977199554
301,35,5th,beta_2,0.9154517531394959
302,36,5th,beta_2,0.760318574309349
303,37,5th,beta_2,0.7859692245721817
304,38,5th,beta_2,0.7279371321201324
305,39,5th,beta_2,1.0176222324371338
306,40,5th,beta_2,8.453945827484132
307,41,5th,beta_2,1.2541235387325287
308,42,5th,beta_2,0.7355828076601029
309,43,5th,beta_2,1.0162781476974487
310,44,5th,beta_2,0.9645345777273179
311,45,5th,beta_2,3.125136685371399
312,46,5th,beta_2,0.805606535077095
313,47,5th,beta_2,0.6950794905424118
314,48,5th,beta_2,0.8235672920942307
315,49,5th,beta_2,1.3514695763587952
316,50,5th,beta_2,1.3002345204353332
317,51,5th,beta_2,1.6145066857337953
318,52,5th,beta_2,0.5466403216123581
319,53,5th,beta_2,11.737062406539918
320,54,5th,beta_2,1.3819346010684967
321,55,5th,beta_2,0.32528404146432877
322,56,5th,beta_2,3.9860615849494936
323,57,5th,beta_2,1.0865180313587188
324,58,5th,beta_2,2.8971237897872926
325,59,5th,beta_2,0.770095443725586
326,60,5th,beta_2,0.41437025964260105
327,61,5th,beta_2,0.8097411692142487
328,62,5th,beta_2,4.842721366882324
329,63,5th,beta_2,1.6734139502048493
330,64,5th,beta_2,0.7903310507535934
331,65,5th,beta_2,1.162036943435669
332,66,5th,beta_2,8.219673871994019
333,67,5th,beta_2,0.5326141953468323
334,68,5th,beta_2,1.065634983778
335,69,5th,beta_2,1.1860382735729216
336,70,5th,beta_2,0.478650851547718
337,71,5th,beta_2,6.946215963363647
338,72,5th,beta_2,0.6543158978223801
339,73,5th,beta_2,1.0269054770469666
340,74,5th,beta_2,4.586704659461975
341,75,5th,beta_2,0.8155215054750442
342,76,5th,beta_2,2.2712701678276064
343,77,5th,beta_2,0.9738454192876816
344,78,5th,beta_2,0.9490239351987839
345,79,5th,beta_2,0.9646091371774673
346,80,5th,beta_2,0.8465659826993943
347,81,5th,beta_2,1.2371424973011016
348,82,5th,beta_2,2.0391609787940976
349,83,5th,beta_2,1.271054607629776
350,84,5th,beta_2,2.0841013073921206
351,85,5th,beta_2,3.682906126976013
352,86,5th,beta_2,3.313849353790283
353,87,5th,beta_2,0.7852717876434326
354,88,5th,beta_2,1.165457618236542
355,89,5th,beta_2,1.155318707227707
356,1,median,beta_2,0.6916201710700989
357,2,median,beta_2,2.9779443740844727
358,3,median,beta_2,1.1707481145858765
359,4,median,beta_2,1.4935054183006287
360,5,median,beta_2,0.666591078042984
361,6,median,beta_2,0.8182951509952545
362,7,median,beta_2,3.4739474058151245
363,8,median,beta_2,10.019495010375977
364,9,median,beta_2,0.7492885887622833
365,10,median,beta_2,1.658388912677765
366,11,median,beta_2,1.3758967518806458
367,12,median,beta_2,0.6285520195960999
368,13,median,beta_2,2.160772442817688
369,14,median,beta_2,0.8630194365978241
370,15,median,beta_2,0.9162511229515076
371,16,median,beta_2,1.0393077731132507
372,17,median,beta_2,0.4691036343574524
373,18,median,beta_2,3.132858395576477
374,19,median,beta_2,6.523884534835815
375,20,median,beta_2,4.000041961669922
376,21,median,beta_2,1.65109783411026
377,22,median,beta_2,2.6588019132614136
378,23,median,beta_2,1.838244080543518
379,24,median,beta_2,0.8680450618267059
380,25,median,beta_2,0.5475972890853882
381,26,median,beta_2,2.3021618127822876
382,27,median,beta_2,1.31984144449234
383,28,median,beta_2,1.075693428516388
384,29,median,beta_2,0.7093535959720612
385,30,median,beta_2,2.359043836593628
386,31,median,beta_2,4.1848304271698
387,32,median,beta_2,3.694522738456726
388,33,median,beta_2,4.160731792449951
389,34,median,beta_2,0.5854505598545074
390,35,median,beta_2,1.4301037788391113
391,36,median,beta_2,1.0308691263198853
392,37,median,beta_2,1.1869869828224182
393,38,median,beta_2,1.0744461417198181
394,39,median,beta_2,1.552459955215454
395,40,median,beta_2,12.033832550048828
396,41,median,beta_2,1.935629665851593
397,42,median,beta_2,1.088604211807251
398,43,median,beta_2,1.6663138270378113
399,44,median,beta_2,1.4279677867889404
400,45,median,beta_2,4.961457014083862
401,46,median,beta_2,1.1477325558662415
402,47,median,beta_2,1.0734084248542786
403,48,median,beta_2,1.203098714351654
404,49,median,beta_2,2.1441240310668945
405,50,median,beta_2,1.940556824207306
406,51,median,beta_2,2.529074788093567
407,52,median,beta_2,0.8483122289180756
408,53,median,beta_2,16.521201133728027
409,54,median,beta_2,2.702472686767578
410,55,median,beta_2,0.5261230766773224
411,56,median,beta_2,6.046331405639648
412,57,median,beta_2,1.7069889307022095
413,58,median,beta_2,4.208692312240601
414,59,median,beta_2,1.173887312412262
415,60,median,beta_2,0.6017895042896271
416,61,median,beta_2,1.2548066973686218
417,62,median,beta_2,7.41947603225708
418,63,median,beta_2,2.610766053199768
419,64,median,beta_2,1.1117298603057861
420,65,median,beta_2,1.5539106130599976
421,66,median,beta_2,11.272057056427002
422,67,median,beta_2,0.7922110557556152
423,68,median,beta_2,1.6421080231666565
424,69,median,beta_2,1.9282414317131042
425,70,median,beta_2,0.7556186616420746
426,71,median,beta_2,14.713831424713135
427,72,median,beta_2,0.9515572190284729
428,73,median,beta_2,1.6568601727485657
429,74,median,beta_2,6.317464113235474
430,75,median,beta_2,1.124691903591156
431,76,median,beta_2,3.5508328676223755
432,77,median,beta_2,1.501192569732666
433,78,median,beta_2,1.5459355115890503
434,79,median,beta_2,1.6429985761642456
435,80,median,beta_2,1.3078579902648926
436,81,median,beta_2,1.840972125530243
437,82,median,beta_2,2.980386257171631
