,subjects,variables,parameter,value
1390,56,5th,kappa,0.6310968816280365
1391,57,5th,kappa,0.7706379801034927
1392,58,5th,kappa,0.7455627977848054
1393,59,5th,kappa,0.9741262704133988
1394,60,5th,kappa,0.8410995781421662
1395,61,5th,kappa,0.8077637791633606
1396,62,5th,kappa,0.563958078622818
1397,63,5th,kappa,0.7053965061903
1398,64,5th,kappa,0.9758694380521774
1399,65,5th,kappa,0.9582793653011322
1400,66,5th,kappa,0.43684808313846585
1401,67,5th,kappa,1.089783501625061
1402,68,5th,kappa,0.6873237311840058
1403,69,5th,kappa,0.6750746965408325
1404,70,5th,kappa,0.7587960243225098
1405,71,5th,kappa,0.540157875418663
1406,72,5th,kappa,0.8891577541828155
1407,73,5th,kappa,0.5631841480731964
1408,74,5th,kappa,0.5041918963193893
1409,75,5th,kappa,0.8895499140024185
1410,76,5th,kappa,0.610328522324562
1411,77,5th,kappa,0.9509230345487594
1412,78,5th,kappa,0.7740660250186919
1413,79,5th,kappa,0.5745615363121033
1414,80,5th,kappa,0.5579737037420273
1415,81,5th,kappa,0.8138537913560867
1416,82,5th,kappa,0.8471843719482421
1417,83,5th,kappa,1.1486433982849122
1418,84,5th,kappa,0.6727090716361999
1419,85,5th,kappa,0.513267907500267
1420,86,5th,kappa,0.547208434343338
1421,87,5th,kappa,0.6529033690690995
1422,88,5th,kappa,0.6371235847473145
1423,89,5th,kappa,1.2914523482322693
1424,1,median,kappa,1.091785728931427
1425,2,median,kappa,1.2963772416114807
1426,3,median,kappa,1.1409144401550293
1427,4,median,kappa,0.95029217004776
1428,5,median,kappa,1.2748008370399475
1429,6,median,kappa,1.4844954013824463
1430,7,median,kappa,0.5987918376922607
1431,8,median,kappa,0.6485040485858917
1432,9,median,kappa,1.0211626887321472
1433,10,median,kappa,0.8828770518302917
1434,11,median,kappa,1.294162929058075
1435,12,median,kappa,1.39797705411911
1436,13,median,kappa,0.776810348033905
1437,14,median,kappa,1.3440438508987427
1438,15,median,kappa,1.3206369280815125
1439,16,median,kappa,0.866467148065567
1440,17,median,kappa,1.2497662901878357
1441,18,median,kappa,0.8869711458683014
1442,19,median,kappa,0.6545242965221405
1443,20,median,kappa,0.7252074182033539
1444,21,median,kappa,1.4071213006973267
1445,22,median,kappa,1.472348153591156
1446,23,median,kappa,0.9558976590633392
1447,24,median,kappa,0.9778300821781158
1448,25,median,kappa,1.3301787376403809
1449,26,median,kappa,1.1035398244857788
1450,27,median,kappa,0.7731565833091736
1451,28,median,kappa,1.2130528688430786
1452,29,median,kappa,1.1673689484596252
1453,30,median,kappa,1.478583037853241
1454,31,median,kappa,0.7471327483654022
1455,32,median,kappa,0.8301088511943817
1456,33,median,kappa,0.831360250711441
1457,34,median,kappa,1.2781627774238586
1458,35,median,kappa,0.9613930881023407
1459,36,median,kappa,1.454740047454834
1460,37,median,kappa,0.8610484898090363
1461,38,median,kappa,1.0595433712005615
1462,39,median,kappa,1.16031152009964
1463,40,median,kappa,0.58216193318367
1464,41,median,kappa,0.9535535871982574
1465,42,median,kappa,1.4773319959640503
1466,43,median,kappa,1.021147906780243
1467,44,median,kappa,1.4633345007896423
1468,45,median,kappa,0.7376797199249268
1469,46,median,kappa,1.00255686044693
1470,47,median,kappa,1.3273840546607971
1471,48,median,kappa,1.3757737278938293
1472,49,median,kappa,1.0367032289505005
1473,50,median,kappa,1.2400058507919312
1474,51,median,kappa,0.9703488945960999
1475,52,median,kappa,1.3463525176048279
1476,53,median,kappa,0.5815190076828003
1477,54,median,kappa,0.8397881090641022
1478,55,median,kappa,1.3408048748970032
1479,56,median,kappa,0.7644218504428864
1480,57,median,kappa,1.142285406589508
1481,58,median,kappa,1.004048228263855
1482,59,median,kappa,1.326452612876892
1483,60,median,kappa,1.294334053993225
1484,61,median,kappa,1.2329363822937012
1485,62,median,kappa,0.680834949016571
1486,63,median,kappa,0.8855788111686707
1487,64,median,kappa,1.2713690400123596
1488,65,median,kappa,1.380780279636383
1489,66,median,kappa,0.5175546705722809
1490,67,median,kappa,1.4166085720062256
1491,68,median,kappa,0.9845170676708221
1492,69,median,kappa,1.0792639255523682
1493,70,median,kappa,1.231053650379181
1494,71,median,kappa,0.5915751159191132
1495,72,median,kappa,1.2648791670799255
1496,73,median,kappa,0.8007124662399292
1497,74,median,kappa,0.5980682671070099
1498,75,median,kappa,1.3496695756912231
1499,76,median,kappa,0.7732592821121216
1500,77,median,kappa,1.300057053565979
1501,78,median,kappa,1.0881796479225159
1502,79,median,kappa,0.8153991401195526
1503,80,median,kappa,0.8738166093826294
1504,81,median,kappa,1.2287184596061707
1505,82,median,kappa,1.239271342754364
1506,83,median,kappa,1.525793194770813
1507,84,median,kappa,0.8463006615638733
1508,85,median,kappa,0.6433984637260437
1509,86,median,kappa,0.6776098310947418
1510,87,median,kappa,1.0109817385673523
1511,88,median,kappa,0.8837873339653015
1512,89,median,kappa,1.619515836238861
1513,1,95th,kappa,1.4439433813095093
1514,2,95th,kappa,1.5889771938323973
1515,3,95th,kappa,1.4870840311050415
1516,4,95th,kappa,1.1847095429897307
1517,5,95th,kappa,1.6455958247184754
1518,6,95th,kappa,1.7751411080360413
1519,7,95th,kappa,0.7274642646312711
1520,8,95th,kappa,0.7395454943180084
1521,9,95th,kappa,1.3426787853240967
1522,10,95th,kappa,1.1348647594451904
1523,11,95th,kappa,1.6389656364917755
1524,12,95th,kappa,1.6766967833042143
1525,13,95th,kappa,0.9525206565856934
1526,14,95th,kappa,1.6343922853469848
1527,15,95th,kappa,1.6499480605125427
1528,16,95th,kappa,1.1856286704540253
1529,17,95th,kappa,1.555497074127197
1530,18,95th,kappa,1.1047354996204375
1531,19,95th,kappa,0.7649645268917084
1532,20,95th,kappa,0.9135340720415115
1533,21,95th,kappa,1.682030403614044
1534,22,95th,kappa,1.7476817131042481
1535,23,95th,kappa,1.1938041746616364
1536,24,95th,kappa,1.4610257863998408
1537,25,95th,kappa,1.6405519008636475
1538,26,95th,kappa,1.4015415370464324
1539,27,95th,kappa,1.186405086517334
1540,28,95th,kappa,1.455654215812683
1541,29,95th,kappa,1.494718164205551
1542,30,95th,kappa,1.7532377898693086
1543,31,95th,kappa,0.9403447329998015
1544,32,95th,kappa,1.003575325012207
1545,33,95th,kappa,1.0339722752571106
1546,34,95th,kappa,1.6281638741493225
1547,35,95th,kappa,1.286275815963745
1548,36,95th,kappa,1.7037621021270752
1549,37,95th,kappa,1.157390135526657
1550,38,95th,kappa,1.4289020836353301
1551,39,95th,kappa,1.480194103717804
1552,40,95th,kappa,0.6559849709272384
1553,41,95th,kappa,1.2459778428077697
1554,42,95th,kappa,1.7716004490852353
1555,43,95th,kappa,1.3154677927494047
1556,44,95th,kappa,1.7471145689487457
1557,45,95th,kappa,0.8670867294073104
1558,46,95th,kappa,1.4120967209339141
1559,47,95th,kappa,1.5882287621498108
1560,48,95th,kappa,1.6286719918251038
1561,49,95th,kappa,1.319462567567825
1562,50,95th,kappa,1.5506150066852569
1563,51,95th,kappa,1.269103318452835
1564,52,95th,kappa,1.5835898578166963
1565,53,95th,kappa,0.6211351364850998
1566,54,95th,kappa,1.0627029478549956
1567,55,95th,kappa,1.66005237698555
1568,56,95th,kappa,0.9093586951494216
1569,57,95th,kappa,1.5052446365356447
1570,58,95th,kappa,1.2673525989055634
1571,59,95th,kappa,1.5999805092811585
1572,60,95th,kappa,1.6570943892002103
1573,61,95th,kappa,1.5440372467041015
1574,62,95th,kappa,0.8098708212375642
1575,63,95th,kappa,1.0612100303173064
1576,64,95th,kappa,1.5198769807815553
1577,65,95th,kappa,1.7026623189449308
1578,66,95th,kappa,0.615259128808975
1579,67,95th,kappa,1.6605273067951203
1580,68,95th,kappa,1.2904949963092802
1581,69,95th,kappa,1.450758194923401
1582,70,95th,kappa,1.6001918733119964
1583,71,95th,kappa,0.6523954123258591
1584,72,95th,kappa,1.5683149218559265
1585,73,95th,kappa,1.0837796032428741
1586,74,95th,kappa,0.6911010205745696
1587,75,95th,kappa,1.6737136244773865
1588,76,95th,kappa,0.9581460148096085
1589,77,95th,kappa,1.558766394853592
1590,78,95th,kappa,1.3843870162963867
1591,79,95th,kappa,1.0952136993408201
1592,80,95th,kappa,1.1963344812393188
1593,81,95th,kappa,1.5527450323104857
1594,82,95th,kappa,1.5536818861961366
1595,83,95th,kappa,1.7821077644824983
1596,84,95th,kappa,1.0372009992599485
1597,85,95th,kappa,0.8055824428796767
1598,86,95th,kappa,0.8223953932523728
1599,87,95th,kappa,1.364073860645294
1600,88,95th,kappa,1.126859664916992
1601,89,95th,kappa,1.8023324251174926
