,elbo,phase
153,6995.241340368985,0
154,6997.234088592231,0
155,7000.122848302126,0
156,6992.74734993279,0
157,6995.886883839965,0
158,6997.847774535418,0
159,7000.91451831758,0
160,7005.672520792484,0
161,6997.66990340054,0
162,6995.154123061894,0
163,6989.8711735069755,0
164,6997.654216724634,0
165,6995.231703948975,0
166,6996.0758726000795,0
167,7000.368987983466,0
168,6990.891058015823,0
169,6992.397866547109,0
170,6997.0729821652185,0
171,6987.36693405509,0
172,6989.416316646338,0
173,6989.778483033181,0
174,6991.529976862669,0
175,6989.7701184272755,0
176,6989.782067072391,0
177,6985.967092692852,0
178,6991.44352427721,0
179,6991.058371937275,0
180,6987.9833130061625,0
181,6989.586868792771,0
182,6999.779727742076,0
183,6993.254237487913,0
184,6990.011459243297,0
185,6990.570268207788,0
186,6998.958533465861,0
187,6990.9777558684345,0
188,6996.785530501604,0
189,6988.1765520036215,0
190,6988.989457854627,0
191,6987.8140147447575,0
192,6993.68467732072,0
193,7000.125914975999,0
194,6996.392398279905,0
195,6992.3963094353685,0
196,6991.852133876087,0
197,6996.5381828069685,0
198,7004.846125328541,0
199,7001.795863521099,0
200,9993.789045596122,1
201,8478.272265714408,1
202,8075.443522322177,1
203,7835.799009591341,1
204,7823.464272886514,1
205,7417.580726447703,1
206,7245.137473025918,1
207,7248.1282762825485,1
208,7500.753772881627,1
209,7200.386479508877,1
210,7163.524343526364,1
211,7097.411606690287,1
212,7036.867694720626,1
213,7052.5547296106815,1
214,7150.959030687808,1
215,7108.1633574128155,1
216,7024.400367766618,1
217,7055.664173018932,1
218,6971.386341306567,1
219,6971.730790317059,1
220,6996.560101306439,1
221,6944.763401326538,1
222,6998.942550092936,1
223,6857.052529183031,1
224,6870.29116884768,1
225,6919.432442060113,1
226,6836.920559048653,1
227,6769.750378733874,1
228,6851.990970744192,1
229,6854.900597602129,1
230,6776.595274651051,1
231,6771.519424957037,1
232,6813.547855645418,1
233,6744.274461968243,1
234,6795.022020614148,1
235,6742.636398485303,1
236,6776.853000566362,1
237,6766.736766393483,1
238,6738.659622770548,1
239,6720.423981595039,1
240,6725.487521685661,1
241,6697.085930287837,1
242,6704.402106001973,1
243,6696.552550341189,1
244,6672.449260349572,1
245,6667.065797853468,1
246,6688.329349514843,1
247,6654.895707929135,1
248,6751.294630092382,1
249,6651.156075605751,1
250,6660.9426851630205,1
251,6663.370248413086,1
252,6695.006171700357,1
253,6681.548508018254,1
254,6646.79129729867,1
255,6625.315623849631,1
256,6639.67514718175,1
257,6643.070704045891,1
258,6626.96010954231,1
259,6632.118630999326,1
260,6618.147723901272,1
261,6629.585140299797,1
262,6605.957580991088,1
263,6644.940488833189,1
264,6608.339817602933,1
265,6615.42622281909,1
266,6601.8981238693,1
267,6619.375339379906,1
268,6599.969404308498,1
269,6604.883687813581,1
270,6604.112130418419,1
271,6616.406088368594,1
272,6606.920479445905,1
273,6591.239783391357,1
274,6615.2606313452125,1
275,6589.264299821854,1
276,6603.517401368916,1
277,6603.431412617862,1
278,6589.8958610579375,1
279,6607.314914801716,1
280,6599.11428334713,1
281,6593.018402820827,1
282,6588.146596479416,1
283,6588.374904568493,1
284,6597.289492683112,1
285,6592.673006001114,1
286,6584.975056213141,1
287,6598.382951943576,1
288,6585.554391816258,1
289,6591.519392678141,1
290,6577.857070538401,1
291,6586.1958800762895,1
292,6582.482264050841,1
293,6598.956981125474,1
294,6602.955623975396,1
295,6583.996269938349,1
296,6582.026235623657,1
297,6589.0269909977915,1
298,6583.723744224013,1
299,6580.123313122987,1
300,6574.036491550505,1
301,6585.653555826843,1
302,6576.835436698795,1
303,6592.89139647633,1
304,6580.328915455937,1
305,6584.627158871293,1
306,6576.13352122903,1
307,6577.023261669278,1
308,6577.0108069688085,1
309,6581.436153900622,1
310,6575.3061086222515,1
311,6583.699024254084,1
312,6582.172055740654,1
313,6586.306430624427,1
314,6580.718154551088,1
315,6591.326222680509,1
