,elbo,phase
295,6732.982731619477,1
296,6711.620861521364,1
297,6701.607818043232,1
298,6702.77583077997,1
299,6681.236552003026,1
300,6683.446238017083,1
301,6681.697962963582,1
302,6691.717025971413,1
303,6679.919190448522,1
304,6674.362790596485,1
305,6667.352877402305,1
306,6709.96870291978,1
307,6695.743823462725,1
308,6688.559278938174,1
309,6684.539333367348,1
310,6701.061287803948,1
311,6669.876617923378,1
312,6660.607056432963,1
313,6653.406092113257,1
314,6669.520520749688,1
315,6650.541271534562,1
316,6649.382060112059,1
317,6653.808004273474,1
318,6662.669430960715,1
319,6679.3442592486745,1
320,6664.849406683445,1
321,6646.005195134879,1
322,6661.000454729796,1
323,6656.9912102311855,1
324,6663.318161872029,1
325,6657.641008128225,1
326,6647.7442764997495,1
327,6642.876276542245,1
328,6663.254592365027,1
329,6664.936863137781,1
330,6633.692985995113,1
331,6644.562537668646,1
332,6653.174722464382,1
333,6644.964408525825,1
334,6647.78825865984,1
335,6656.608966419101,1
336,6632.806613293291,1
337,6645.142034511268,1
338,6636.349082806706,1
339,6631.834997141361,1
340,6639.532952466608,1
341,6628.9905707716935,1
342,6635.509140275419,1
343,6628.708706089854,1
344,6622.1151749268165,1
345,6628.678996258974,1
346,6624.8673833146695,1
347,6636.587270298601,1
348,6622.7151699677115,1
349,6627.100189489127,1
350,6627.838781295716,1
351,6613.401128965616,1
352,6618.743692319095,1
353,6617.88376366049,1
354,6624.283992744982,1
355,6626.99100767076,1
356,6620.256464266777,1
357,6620.402863124013,1
358,6623.752418643236,1
359,6634.333039112388,1
360,6619.157686358691,1
361,6634.889610651135,1
362,6628.834748664499,1
363,6609.629365371168,1
364,6622.58667563796,1
365,6621.856764379144,1
366,6619.185160420836,1
367,6612.846988391876,1
368,6608.172515767813,1
369,6630.084112447501,1
370,6622.164629779756,1
371,6627.600939002633,1
372,6603.309726466239,1
373,6601.958146351576,1
374,6623.103061524033,1
375,6619.186147969962,1
376,6613.5203100577,1
377,6606.327748838067,1
378,6646.281493997574,1
379,6605.656385259331,1
380,6617.250329479576,1
381,6603.637526008486,1
382,6614.143533435464,1
383,6618.112314724921,1
384,6617.073857051134,1
385,6612.58804589808,1
386,6611.05590557307,1
387,6603.715924811364,1
388,6602.11281247139,1
389,6599.872539931535,1
390,6617.449806657433,1
391,6597.404657745362,1
392,6609.14237665236,1
393,6603.393068432808,1
394,6616.730706271528,1
395,6611.733648414909,1
396,6609.718278832734,1
397,6618.0560720771555,1
398,6605.459448543192,1
399,6599.790197315811,1
400,9592.138877925277,2
401,9670.047166517377,2
402,8559.00353395641,2
403,8283.231792655586,2
404,7812.296504473686,2
405,7926.881106325984,2
406,7775.153153946995,2
407,7425.74898993969,2
408,7402.932308977843,2
409,7224.4058532863855,2
410,7272.222515130043,2
411,7210.041099536419,2
412,7182.736487966776,2
413,7128.418430244922,2
414,7156.4015631228685,2
415,7077.336048632861,2
416,7147.3390058398245,2
417,7009.490047395228,2
418,7009.381007328629,2
419,7010.171932774782,2
420,6888.273302030563,2
421,6954.618633639811,2
422,6974.173515415192,2
423,6844.341874110699,2
424,6835.739159753919,2
425,6909.9198133111,2
426,6804.667666649819,2
427,6787.589596503974,2
428,6763.968950265646,2
429,6743.622232449055,2
430,6727.24479495883,2
431,6656.298427900672,2
